STATE_NAME,PC_NO,PC_NAME,ELECTORS,EVM_MALE,EVM_FEMALE,EVM_OTHERS,EVM_TOTAL,EVM_NRI,POSTAL_VOTES,TOTAL_VOTERS,VOTER_TURN_OUT_PERCENT,VOTER_TURNOUT_MALE_PERCENT,VOTER_TURNOUT_FEMALE_PERCENT,VOTER_TURNOUT_OTHERS_PERCENT,YEAR,MALE_ELECTORS,FEMALE_ELECTORS,OTHERS_ELECTORS
Maharashtra,2.0,Dhule,1675367.0,540775.0,438455.0,0.0,979230.0,0.0,3886.0,983116.0,58.6806353473597,61.6794277964895,55.1332639224207,0.0,2014,876751,795264,0
Maharashtra,3.0,Jalgaon,1707969.0,550503.0,439312.0,6.0,989821.0,0.0,783.0,990604.0,57.9989449457221,60.8064851060822,55.0737137699328,24.0,2014,905335,797680,25
Maharashtra,10.0,Nagpur,1900784.0,578754.0,504850.0,0.0,1083604.0,0.0,2161.0,1085765.0,57.1219559928956,59.0818514057045,54.8880657460852,0.0,2014,979579,919781,0
Maharashtra,20.0,Dindori,1530208.0,546617.0,422882.0,0.0,969499.0,0.0,817.0,970316.0,63.410725862105,67.8959011577717,58.6069549695381,0.0,2014,805081,721555,0
Maharashtra,21.0,Nashik,1593774.0,523318.0,412087.0,0.0,935405.0,0.0,2195.0,937600.0,58.8289180272736,61.7377280872816,55.5335893807695,0.0,2014,847647,742049,0
Maharashtra,34.0,Pune,1835835.0,533792.0,459588.0,2.0,993382.0,0.0,584.0,993966.0,54.1424474421721,56.299690125574,51.8921482284398,25.0,2014,948126,885660,8
Maharashtra,35.0,Baramati,1813553.0,602117.0,463496.0,0.0,1065613.0,0.0,1350.0,1066963.0,58.8327443421836,62.866620239327,54.3861295985131,0.0,2014,957769,852231,0
Maharashtra,36.0,Shirur,1824112.0,613290.0,475412.0,0.0,1088702.0,0.0,871.0,1089573.0,59.7316941065022,63.1902042767679,55.9410903648199,0.0,2014,970546,849843,0
Maharashtra,37.0,Ahmednagar,1705005.0,594749.0,465801.0,1.0,1060551.0,0.0,2229.0,1062780.0,62.3329550353225,66.3814964127703,58.2799081136268,1.63934426229508,2014,895955,799248,61
Maharashtra,38.0,Shirdi,1462267.0,519824.0,412130.0,0.0,931954.0,0.0,939.0,932893.0,63.7977195683141,67.8608121250889,59.4613233762224,0.0,2014,766015,693106,0
Maharashtra,2.0,Dhule,1908173.0,590252.0,489597.0,7.0,1079856.0,0.0,8722.0,1088578.0,57.048181690024954,59.19206242397318,53.744520956210465,33.33333333333333,2019,997181,910970,21
Maharashtra,3.0,Jalgaon,1931400.0,584596.0,495967.0,13.0,1080576.0,0.0,11711.0,1092287.0,56.55415760588174,57.6073567640329,54.11285025672582,20.3125,2019,1014793,916542,64
Maharashtra,10.0,Nagpur,2161096.0,620371.0,561330.0,14.0,1181715.0,0.0,5500.0,1187215.0,54.93578258439237,56.54711066670192,52.75995082392484,18.181818181818183,2019,1097087,1063932,76
Maharashtra,20.0,Dindori,1732936.0,628124.0,506627.0,3.0,1134754.0,0.0,3948.0,1138702.0,65.7094087721647,69.38335017867104,61.21418991578362,27.27272727272727,2019,905295,827630,11
Maharashtra,21.0,Nashik,1885064.0,615905.0,502643.0,5.0,1118553.0,0.0,3539.0,1122092.0,59.52540603395959,62.09934200841697,56.271697623155184,33.33333333333333,2019,991806,893242,15
Maharashtra,34.0,Pune,2075824.0,550415.0,483397.0,12.0,1033824.0,0.0,1830.0,1035654.0,49.89122391879081,51.523718143736396,47.9813274651627,15.0,2019,1068275,1007469,80
Maharashtra,35.0,Baramati,2114663.0,711804.0,587435.0,3.0,1299242.0,0.0,8076.0,1307318.0,61.821576298445656,63.990607331998625,58.61027883620531,9.090909090909092,2019,1112357,1002273,32
Maharashtra,36.0,Shirur,2175529.0,717962.0,572428.0,5.0,1290395.0,0.0,2760.0,1293155.0,59.440945167818946,62.608142105332,55.644143750060756,11.363636363636363,2019,1146755,1028729,44
Maharashtra,37.0,Ahmednagar,1861396.0,652845.0,539052.0,8.0,1191905.0,0.0,14185.0,1206090.0,64.79491736309737,66.77464293166298,61.00468072392783,9.090909090909092,2019,977684,883624,87
Maharashtra,38.0,Shirdi,1587079.0,559147.0,463259.0,33.0,1022439.0,0.0,8063.0,1030502.0,64.93073123644129,67.84331949321381,60.72883675566835,45.20547945205479,2019,824174,762832,73
Maharashtra,2.0,Dhule,2025275.0,658137.0,559371.0,15.0,1217523.0,0.0,4418.0,1221941.0,60.33,62.38,57.66,31.91,2024,1055044,970119,47
Maharashtra,3.0,Jalgaon,2000402.0,628129.0,537830.0,18.0,1165977.0,0.0,4676.0,1170653.0,58.52,60.19,56.22,21.18,2024,1043577,956652,84
Maharashtra,10.0,Nagpur,2224282.0,628957.0,578784.0,28.0,1207769.0,0.0,4316.0,1212085.0,54.49,56.46,52.14,12.56,2024,1113986,1110057,222
Maharashtra,20.0,Dindori,1857924.0,679146.0,557525.0,4.0,1236675.0,0.0,5310.0,1241985.0,66.85,70.39,62.42,23.53,2024,964833,893183,16
Maharashtra,21.0,Nashik,2033175.0,672512.0,560705.0,35.0,1233252.0,0.0,4361.0,1237613.0,60.87,63.33,57.74,43.75,2024,1061916,971085,80
Maharashtra,34.0,Pune,2062172.0,584504.0,519078.0,89.0,1103671.0,0.0,1098.0,1104769.0,53.57,55.21,51.74,27.47,2024,1058692,1003243,323
Maharashtra,35.0,Baramati,2374884.0,774501.0,637313.0,19.0,1411833.0,0.0,2201.0,1414034.0,59.54,62.25,56.37,16.38,2024,1244178,1130588,115
Maharashtra,36.0,Shirur,2541750.0,773974.0,601591.0,33.0,1375598.0,0.0,2093.0,1377691.0,54.2,57.81,50.02,16.26,2024,1338823,1202700,202
Maharashtra,37.0,Ahmednagar,1988934.0,721432.0,598835.0,51.0,1320318.0,0.0,6812.0,1327130.0,66.73,69.38,63.1,42.86,2024,1039827,949025,118
Maharashtra,38.0,Shirdi,1680067.0,580254.0,477040.0,34.0,1057328.0,0.0,3090.0,1060418.0,63.12,66.91,58.69,43.59,2024,867215,812813,77
